pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events, mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 209.690715, 202, 18963, 134, 1250.0, 2317, 0.4634, 2587, 2409, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 212.078643, 140, 18975, 128, 555.555555556, 2136, 0.4272, 2596, 2395, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 215.538546, 182, 18979, 131, 833.333333333, 1880, 0.376, 2611, 2383, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 211.765519, 147, 18971, 132, 625.0, 1437, 0.2874, 2588, 2404, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 219.160929, 147, 19040, 135, 625.0, 1951, 0.3902, 2592, 2400, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 220.729723, 156, 19020, 132, 833.333333333, 1729, 0.3458, 2562, 2432, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 213.322586, 212, 18943, 138, 833.333333333, 2691, 0.5382, 2531, 2463, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 213.213073, 172, 18989, 133, 1666.66666667, 3735, 0.747, 2608, 2389, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 213.131071, 187, 18976, 142, 833.333333333, 1683, 0.3366, 2681, 2313, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 213.262847, 162, 18989, 135, 833.333333333, 1495, 0.299, 2672, 2322, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 215.785372, 175, 19020, 140, 1000.0, 1401, 0.2802, 2773, 2222, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 215.304802, 144, 19010, 134, 1250.0, 1859, 0.3718, 2588, 2408, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 211.936995, 200, 18974, 141, 1000.0, 3133, 0.6266, 2569, 2426, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 212.10024, 215, 18983, 141, 2500.0, 4397, 0.8794, 2642, 2356, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 208.833367, 160, 18943, 129, 1250.0, 3038, 0.6076, 2663, 2333, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 212.373934, 177, 19000, 137, 1250.0, 2753, 0.5506, 2656, 2340, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 209.475788, 168, 18915, 140, 833.333333333, 2630, 0.526, 2533, 2461, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 213.031712, 206, 18956, 142, 714.285714286, 2132, 0.4264, 2614, 2379, 0.35
